Original IRI	Duplicate	Label	Alt Label	Description	Place of Birth	Title	Deposition ID
http://aksw.org/notInWiki/Joabe	x	Joabe Ward					
http://aksw.org/notInWiki/NolanofKilleclonah	x	Morrice Dune					
http://aksw.org/notInWiki/CaptaineDudleyCooley		Dudley Cooley		Leader of a foot company. Commanded the murder of John Browne.		captain	813130r101
http://aksw.org/notInWiki/HenryHolecroft		Henry Holecroft				ensigne	813130r101
http://aksw.org/notInWiki/LordofOrmond	x	Piers Butler	Lord of Ormond	"Piers Butler, 8th Earl of Ormond, 1st Earl of Ossory (1467 – 26 August, 1539) also known as (Irish Piers Ruadh) Red Piers, was from the Polestown branch of the Butler family of Ireland.

"		earl	813130r101 812200r167 810242r273
http://aksw.org/notInWiki/MorriceDune		Morrice Dune	Nolan of Killeclonah	Charged with participating in seizing the Castle of Clanmore	Killeclonah		812033v040
http://aksw.org/notInWiki/SirEdmondBlanchfeild		Edmond Blanchfeild		Married to the only daugther of Thomas Butler	Blanchvillestown	esquire	812200r167.
http://dbpedia.org/resource/James_Tuchet,_3rd_Earl_of_Castlehaven		James Tuchet	James Tuchet, 3rd Earl of Castlehaven	James Tuchet, 3rd Earl of Castlehaven (c. 1617 – 11 October 1684) was the son of Mervyn Tuchet, 2nd Earl of Castlehaven and his first wife, Elizabeth Barnham (1592 – c. 1622). Castlehaven played a prominent role in the Wars of the Three Kingdoms that took place in the middle of the 17th century, and was particularly active in the conflicts in Ireland at this time.		earl	813358v270
http://aksw.org/notInWiki/ColonellToole		Barnaby Toole		Father of Luke Toole		colonel	811211r146 810242r273
http://aksw.org/notInWiki/ConstableoftheCastle		John Coghlan		Incarcarated Thomas Parnell for ransom.		constable	
http://aksw.org/notInWiki/Peters	x	Peter Wickham		Farmer			
http://aksw.org/notInWiki/EdmundoDonnell		Edmundo Donnell			Hacketstowne		
http://aksw.org/notInWiki/Cooley	x	Dudley Cooley					
http://aksw.org/notInWiki/Will.Relly		Will Relly		Servant of John Watson			
http://aksw.org/notInWiki/CollonellButler		Colonel Butler	 Collonell Butler of Knocklogher	Extorted mony from Robert Howell and his party for safe passage.	Knocklogher	colonell	
http://aksw.org/notInWiki/fferdoroghHickie		Fferdorogh Hickie 		Irish Rebel Prisoner			
http://aksw.org/notInWiki/CahermcPhelimBirne		Garrat mc Phelim Birne			Ballykirnie		
http://dbpedia.org/resource/Thomas_Preston,_1st_Viscount_Tara		Thomas Preston 	Thomas Preston, 1st Viscount Tara  	Irish noble and general 			
http://aksw.org/notInWiki/RichardPhillips		Richard Phillips		Was hanged			
http://dbpedia.org/resource/God		God		In monotheism, God is conceived of as the Supreme Being and principal object of faith. The concept of God as described by most theologians includes the attributes of omniscience (infinite knowledge), omnipotence (unlimited power), omnipresence (present everywhere), divine simplicity, and as having an eternal and necessary existence. Many theologians also describe God as being omnibenevolent (perfectly good), and all loving.			
http://aksw.org/notInWiki/CollonellPeirsButler	x	Piers Butler				colonel	
