Original IRI	Duplicate	Label	Alt Label	Description
http://aksw.org/notInWiki/Allon		Allon		
http://aksw.org/notInWiki/Ballendowne		Ballendowne		Town in County Offaly
http://aksw.org/notInWiki/Ballin		Ballin		Town in County Laois
http://aksw.org/notInWiki/Bally=ne=ghille		Ballinakill  		
http://aksw.org/notInWiki/Ballycullen		Ballycullen		
http://aksw.org/notInWiki/Ballydaghan		Ballydaghan		Town in County Wicklow
http://aksw.org/notInWiki/Ballykirnie		Ballykirnie		Town in County Wicklow
http://aksw.org/notInWiki/Ballymorrey		Ballymorrey		Town in County Wicklow
http://aksw.org/notInWiki/Ballynwally		Ballynwally		Town in County Wicklow
http://aksw.org/notInWiki/Bellgard		Bellgard		
http://aksw.org/notInWiki/Bordkill		Bordkill		Town in County Wicklow
http://aksw.org/notInWiki/Castlekevin		Castlekevin		Castle
http://aksw.org/notInWiki/Castlekevyn	x	Castlekevin		
http://aksw.org/notInWiki/CastleofArklow		Castle of Arklow		
http://aksw.org/notInWiki/CastleofArklowe	x	Castle of Arklow		
http://aksw.org/notInWiki/CastleofCastleComber		Castle Comber		"Castle in County Kilkenny
"
http://aksw.org/notInWiki/CastleofClanmore		Castle of Clanmore		Castle in County Carlow
http://aksw.org/notInWiki/Castleofknocknamease		Castle of Knocknamease		Castle in County Offaly
http://aksw.org/notInWiki/CastleofKnockrath		Castle of Knockrath		Castle in County Wicklow
http://aksw.org/notInWiki/CastleSallagh		Castle Sallagh		Castle in County Wicklow
http://aksw.org/notInWiki/Cloghgrenan		Cloghgrenan		
http://aksw.org/notInWiki/Cloghgrennon	x	Cloghgrenan		
http://aksw.org/notInWiki/Clonahane		Clonahane		Town in County Offaly
http://aksw.org/notInWiki/Clonahaue	x	Clonahane		
http://aksw.org/notInWiki/Constableshill		Constableshill		
http://aksw.org/notInWiki/disarte=Castle		Disarte Castle		
http://aksw.org/notInWiki/Dollardstowne		Dollardstowne		"Town in County Kildare
"
http://aksw.org/notInWiki/Donganstowne		Donganstowne		Town in County Wicklow
http://aksw.org/notInWiki/fforteofLeix	x	Fort of Leix		
http://aksw.org/notInWiki/fforteof	x	Fort of Leix		
http://aksw.org/notInWiki/fortofLeix		Fort of Leix		Fort in County Laois
http://aksw.org/notInWiki/Glanmagone		Glanmagone		
http://aksw.org/notInWiki/Grangroshnalvine		Grangroshnalvine		
http://aksw.org/notInWiki/Idogh		Idogh		
http://aksw.org/notInWiki/Kerdifstowne		Kerdifstowne		Town in County Kildare 
http://aksw.org/notInWiki/Kilfeakill		Kilfeakill		
http://aksw.org/notInWiki/Killecartan		Killecartan		
http://aksw.org/notInWiki/Killelongford		Killelongford		Town In County Carlow
http://aksw.org/notInWiki/Killevana		Killevana		Town in County Wicklow
http://aksw.org/notInWiki/Kilmacurn		Kilmacurn		Town in County Wicklow
